Judul,Industri,Tipe,Kategori,Tanggal_Post,Berlaku_Hingga,Perusahaan,Website_Perusahaan,Logo_Perusahaan,Alamat,Kota,Provinsi,Negara,Latitude,Longitude,Gaji_Min,Gaji_Max,Gaji_Currency,Gaji_Unit,Skills,Pengalaman_Bulan,Pendidikan,Deskripsi,Tentang_Perusahaan,Benefit,Apply_Langsung,Link,cleaned_text
Data Analyst,Retail,FULL_TIME,Data Analyst,2026-04-06T10:51:25.537Z,2026-05-07,PT. DANGHUAN TEKNOLOGI INDONESIA,http://www.danghuanindo.com,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/d0dd0cec18278fcab36477e9cd9a9249.jpg,Landmark Pluit Lantai 12,Jakarta Utara,DKI Jakarta,ID,-6.12083,106.76111,5750000.0,7500000.0,IDR,MONTH,"Data Visualization, Microsoft Excel, Data Analysis",12.0,bachelor degree,"Kualifikasi: 
 Pendidikan minimal SMA/SMK/D3 (diutamakan Administrasi/Manajemen) 
 Pengalaman minimal 1 tahun sebagai Admin Sales  
 Wajib bisa menggunakan Excel 
 Teliti, rapi, dan mampu mengelola data dengan baik 
 Memiliki komunikasi yang baik 
 Mampu bekerja secara mandiri maupun dalam tim 
 
 Tanggung Jawab: 
 Mengelola dan menginput data penjualan 
 Membuat quotation & SO 
 Menyiapkan & Menganalisa laporan penjualan harian/mingguan/bulanan 
 Berkoordinasi dengan tim sales, gudang, dan finance 
 Mengarsipkan dokumen penjualan dengan rapi","Danghuan is wholly-owned subsidiary of Oppo China. Established in 2018 at China and focus in second-hand electronic products. It has now become a leading second-hand electronic product service provider in China. 
 
 Founded in 2023, Danghuan teknologi Indonesia is commited to use better technology and mature channels to serve and give local customers a better experience in buy and use electronic products. Also, Danghuan aims to facilitate the circulation and trade of local second-hand electronic products in Indonesia.","bpjs tenaga kerja insurance and health, medical coverage, sales commission financial benefits, near public transport work environment and facilities, user defined, career growth",True,https://glints.com/id/opportunities/jobs/data-analyst/c1456e08-7fed-4dc3-a039-e5207f80bb0f,data visualization microsoft excel data analysis
Data Analyst,Information Technology and Services,FULL_TIME,Data Analyst,2026-03-26T07:13:08.794Z,2026-04-26,HIGO,http://higo.id,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/2008a49b0d3c23c974a91801ac941681.jpg,"Jl. Panjang Raya, Kedoya Elok Plaza, Blok DA No.3-4, RT.19/RW.4, South Kedoya, Kebonjeruk, West Jakarta City, Jakarta 11520",Jakarta Barat,DKI Jakarta,ID,-6.18889,106.77083,5700000.0,7000000.0,IDR,MONTH,"Python, Data Visualization, Data Analysis, Statistics, Tableau, Power BI, Microsoft Excel, SQL",12.0,bachelor degree,"Requirement: 
 1. Bachelor’s degree in  Data Science, Computer Science, Statistics, Mathematics, or related field with certifications related to data science, data analysts business analytics, or AI/ML. 
 2.  Minimum 1–3 years of hands-on experience  in a data analyst or similar analytical role. 
 3. Have a strong analytical mindset, excellent data manipulation skills, and a passion for uncovering insights that drive business value 
 4. Proficiency in  MongoDB, SQL and programming languages like Python or R. 
 5. Strong experience with data visualization tools  (e.g., Tableau, Power BI, or Looker). 
 6. Solid understanding of  statistical analysis, hypothesis testing, and data modeling. 
 7. Familiarity with machine learning concepts and basic experience with frameworks like  scikit-learn, TensorFlow, or similar. 
 8. Strong business acumen, data product knowledge and problem solving abilities. 
 9. Ability to clearly communicate technical insights to non-technical stakeholders. 
 10. Experience in a business analyst role or working closely with business units. 
 11. Knowledge of data engineering pipelines and tools is a plus. 
 12. Familiarity with AI use cases in business contexts  (e.g., customer segmentation, churn prediction). 
 
 Job Description: 
 1. Collect, clean, and transform data from multiple sources for analysis. 
 2. Perform exploratory data analysis to identify trends, anomalies, and opportunities. 
 3. Develop and maintain dashboards and reports to support data-driven decision-making. 
 4. Collaborate with product, marketing, operations, and other departments to understand data needs. 
 5. Work with machine learning and AI teams to support data preparation and model evaluation. 
 6. Assist in forecasting, segmentation, and performance analysis projects. 
 7. Translate analytical findings into actionable business insights and recommendations. 
 8. Document processes and develop reusable code/templates for analysis. 
 9. Often collaborate with stakeholders to translate data into strategic decisions.","Higo merupakan sebuah WiFi Advertising Platform yang hadir untuk membantu pelaku bisnis mengenal semua pengunjung secara lebih dekat layaknya seorang teman, serta mampu melakukan human-based marketing dari data analitik. 
 Kami menghadirkan layanan Social WiFi, Free WiFi, dan HIGOes To School di beberapa lokasi strategis. 
 Vision : 
 To be the most innovative solution for digital information exchange and distribution in Indonesia 
 Mission : 
 Innovative – Memaksimalkan fasilitas internet di area publik untuk mengenal semua pengunjung layaknya teman, buat traffic iklan yang tinggi, dan ciptakan customize survey yang menarik perhatian 
 Reliable – Buat pengunjung terus kembali, tayangkan iklan di spot yang tepat dan raih potensial customer lebih banyak dengan segmentasi audiens yang akurat 
 Relevant – Menjadi solusi terbaik bagi pemilik bisnis untuk meningkatkan jumlah pengunjung, mampu menghasilkan awareness dan leads dari iklan yang ditayangkan","team building events, professional development, free food and beverages, near public transport work environment and facilities, bpjs tenaga kerja insurance and health, thr financial benefits, career growth, medical coverage",True,https://glints.com/id/opportunities/jobs/data-analyst/d928b194-5e9e-45a5-a4d6-ee7bbfda6dbc,python data visualization data analysis statistics tableau power bi microsoft excel sql
Data Analyst,Information Technology and Services,FULL_TIME,Data Analyst,2026-01-28T01:10:00.502Z,2026-04-29,PT. Berlian Sistem Informasi,http://bsi.co.id,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/cd1a98bcad61553b3059daf9da952105.png,"KTB Annex Building, 4th Floor Jl. Jendral A. Yani, Pulomas",Jakarta Timur,DKI Jakarta,ID,-6.19306,106.88889,9100000.0,15200000.0,IDR,MONTH,"Data Analysis, Power BI, Data Visualization, Microsoft Excel, SQL",36.0,bachelor degree,"Perform data management activities in accordance with customer, company, contract, and regulatory requirements. 
 Interact with customers and other teams to obtain data requirements for new and existing applications. 
 Identify business problems and variables which need to be predicted. 
 Understand how to utilize data to solve business problems. 
 Support development, enhancement, evaluate and maintenance of multiple datasets for consistency, completeness, accuracy and reasonableness. 
 Perform data analysis and generate data reports on periodic basis for management and customers. 
 Present data management updates at internal and customer meetings. 
 Develop process improvements for data management activities. 
 
 
 Requirement 
 
 Minimum 3 years of experience in data management, data analysis, or a related field. 
 Bachelor’s degree in a relevant discipline from a reputable university. 
 Excellent English communication skills (written and verbal). 
 Proven ability to manage and analyze large datasets with high accuracy and consistency. 
 Strong knowledge of data management principles and data governance. 
 Proficiency in SQL, Excel, and BI tools. 
 Ability to identify business problems and deliver data-driven solutions. 
 Strong problem-solving skills and a proactive approach to process improvements. 
 Capable of working independently and in a team environment.","PT Berlian Sistem Informasi is an IT service and consulting company, focusing on automotive and mobility service business in Indonesia. As one of group companies of Mitsubishi Corporation, our dream is to create cross-industry new value and drive transformation of automotive and mobility service.","medical coverage, career growth, thr financial benefits, professional development, bpjs tenaga kerja insurance and health",True,https://glints.com/id/opportunities/jobs/data-analyst/273ea407-0b58-46c7-8dbc-3d77c21db5ae,data analysis power bi data visualization microsoft excel sql
Data Analyst,Retail,FULL_TIME,Data Analyst,2026-03-12T07:43:34.841Z,2026-04-12,Nusantara Sakti Group,https://www.nusantara-sakti.com,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/b4b6d4378e7834800bf5395c8685ce8d.jpg,"Gedung The Victoria Lantai 5-6 Jl. Tomang Raya Kav. 35-37, RT.12/RW.5, Tomang, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11440",Jakarta Barat,DKI Jakarta,ID,-6.19167,106.79444,7000000.0,10000000.0,IDR,MONTH,"Business Strategy, Pivot Table, Business Growth Strategy, Business Development, Business Analysis, Business Process Improvement, Data Analysis, Microsoft Excel, Business Improvement, Analytical Skills, Tableau, SQL",12.0,bachelor degree,"Qualifications : 
 
 Pendidikan minimal S1 jurusan  Statistika, Matematika, Accounting, Aktuaria, Ekonomi, Sistem Informasi,  dan jurusan relevan lainnya 
 Menguasai Excel minimal intermediate , kemampuan SQL / Power BI / Tableu menjadi nilai tambah 
 Mampu menganalisa data dalam jumlah besar dan membuat  forecasting 
 Komunikatif dan  Detail-oriented 
 Inisiatif dan mampu bekerja lintas tim/divisi 
 Memiliki ketertarikan dan pemahaman tentang dunia bisnis 
 Memahami  Business Process Management  menjadi nilai tambah 
 Memiliki pengalaman sebagai  Data analyst  menjadi nilai tambah 
 Penempatan  Jakarta Barat 
 
 
 Jobdesc : 
 
 Melakukan analisa data pencapaian dan alur proses dari sebuah bisnis 
 Bertanggung jawab terhadap pencapaian bisnis 
 Mampu mengolah, menganalisa, mengintepretasi, dan memvisualisasi data sesuai bisnis/divisi yang menjadi tanggung jawab 
 Memberikan insight strategis dan  actionable  untuk meningkatkan efisiensi dan efektivitas 
 Menerjemahkan konsep  improvement  bisnis menjadi kebutuhan sistem  (system requirement) 
 Berkoordinasi dengan tim IT untuk memastikan pemahaman kebutuhan sistem sesuai dengan konsep bisnis 
 Melakukan analisa ulang apabila hasil penerapan belum sesuai ekspektasi, sehingga terbentuk pola  continuous development / continuous improvement  agar sistem dan proses terus berkembang secara berkelanjutan. 
 Membangun hubungan kerjasama internal dan eksternal 
 Mempersiapkan laporan bulanan, triwulan, dan tahunan","Nusantara Sakti Group adalah perusahaan yang bergerak di berbagai unit usaha. 
 Beberapa unit usahanya ialah : 
 
 Dealer Resmi Sepeda Motor Honda 
 Bengkel Resmi Sepeda Motor Honda (AHASS) 
 Pembiayaan Multiguna Motor (M2W) 
 Pembiayaan Multiguna Mobil (M4W) & Mortgage 
 Jasa Pengiriman dan Ekspedisi 
 Distibutor (Honda Genuine Parts, Honda Genuine Oil, Indoparts, Federal Oil, Pertamina Oil) 
 Property 
 Ivaro Furniture","career growth, perform bonus financial benefits, medical coverage, near public transport work environment and facilities, thr financial benefits",True,https://glints.com/id/opportunities/jobs/data-analyst/ca0d5486-c090-475b-95eb-ed96ae6aff51,business strategy pivot table business growth strategy business development business analysis business process improvement data analysis microsoft excel business improvement analytical skills tableau sql
Data Analyst,Information Technology and Services,CONTRACTOR,Data Analyst,2026-02-06T10:29:27.222Z,2026-04-13,PT. Quad Sinergi Teknologi,https://quadteknologi.com,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/dc87c121cdcb0c0b1e2ce2d04be14de7.png,"Jl. Meruya Ilir Raya No.14 Blok H1, North Meruya, Kembangan, West Jakarta City, Jakarta 11620",Jakarta Barat,DKI Jakarta,ID,-6.19861,106.74167,6000000.0,7500000.0,IDR,MONTH,"Power BI, SQL, Python, Tableau, Redis, Microsoft SQL Server, Microsoft Excel, Statistics, Data Analysis, Data Visualization",36.0,bachelor degree,"Data Analyst 
 PT. Quad Sinergi Teknologi (QST) adalah perusahaan IT Solution yang berfokus pada penyediaan solusi infrastruktur teknologi, jaringan, dan sistem yang inovatif dan tepat guna bagi klien kami. Saat ini kami membuka kesempatan bagi talenta terbaik untuk bergabung sebagai Data Analyst. 
 Tanggung Jawab: 
 - Menganalisis kebutuhan teknis klien terkait solusi pengolahan data. 
 - Menyusun solusi teknis dan desain arsitektur sesuai kebutuhan klien. 
 - Mampu memberikan presentasi dan penjelasan teknis kepada klien menjadi nilai tambah. 
 - Mengikuti perkembangan teknologi dan produk terbaru di bidang pengolahan data. 
 Kualifikasi: 
 - Pendidikan minimal S1 Teknik Informatika / Sistem Informasi / Matematika / Statistik, sejenis. 
 - Pengalaman minimal 2-5 tahun sebagai Engineer Data (Data Analyst, Scientist, Engineer). 
 - Mampu mengolah data, membersihkan data, membuat report/dashboard/visualisasi. 
 - Memiliki pengetahuan dan keahlian pada Python (pandas, matplotlib, pytorch, etc..)/R, SQL, PowerBI/Tebleu, Machine learning, Big Data, Jupyter Notebook. 
 - Mengerti sistem data warehouse, ETL, Datalake, etc. 
 - Memiliki kemampuan dan pengetahuan teknologi contenerized (kubernetes, docker, etc..) menjadi nilai tambah. 
 - Memiliki pengetahuan ERD, dan biasa bekerja dengan konsep SDLC. 
 - Memiliki pemahaman yang kuat terhadap proses bisnis. 
 - Mampu melakukan presentasi teknis dengan baik. 
 - Memiliki kemampuan komunikasi dan analisis yang baik. 
 - Memiliki sertifikasi terkait menjadi nilai tambah. 
 Benefit: 
 - Gaji kompetitif 
 - Lingkungan kerja profesional dan kolaboratif 
 - Kesempatan pengembangan skill & karier 
 - Terlibat langsung dalam project IT berskala enterprise","PT Quad Sinergi Teknologi (QST) adalah perusahaan teknologi informasi yang berdiri sejak 2014, berfokus pada penyediaan solusi infrastruktur IT, keamanan jaringan, cloud system, dan data analytics. 
QST terdiri dari profesional berpengalaman yang berkomitmen memberikan solusi bernilai bagi klien dengan mengintegrasikan infrastruktur dan arsitektur data melalui perencanaan yang matang. 
 Tujuan QST adalah membantu klien mencapai target bisnis melalui solusi teknologi yang agile, aman, efisien, dan berperforma tinggi. 
Mereka menyediakan layanan seperti: 
 
 Transformasi dan integrasi infrastruktur bisnis penting (critical-business system) 
 Cloud architecture, hyper-converged, colocation, dan microservices 
 Solusi keamanan jaringan (firewall, SD-WAN, IAM, SIEM) 
 Data management dan big data analytics (machine learning, predictive analytics, RPA) 
 Preventive & corrective maintenance serta managed services","bpjs tenaga kerja insurance and health, professional development, medical coverage, career growth",True,https://glints.com/id/opportunities/jobs/data-analyst/c76020aa-e7c5-43c6-9f3e-87658370baf3,power bi sql python tableau redis microsoft sql server microsoft excel statistics data analysis data visualization
Data Analyst,Information Technology and Services,CONTRACTOR,Data Analyst,2026-03-30T04:15:23.621Z,2026-04-30,Tamtech International,https://tamtech.id,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/9d240240a35943a4760dacc37c6c7617.jpg,"Jalan Ring Road Utara No 29 Caturtunggal, Depok, Mlati, Sleman, Daerah Istimewa Yogyakarta 55284",Sleman,DI Yogyakarta,ID,-7.76667,110.40972,6000000.0,7000000.0,IDR,MONTH,"SQL, Power BI, Redis, Python, Statistics, Data Visualization, Tableau, Data Analysis",12.0,bachelor degree,"We are currently looking for a Data Analyst to join our team for a Smart City Enterprise Architecture project. In this role, you will serve as the core driver for defining data structures, governance, and integration models. You will work closely with Business Analysts and Architecture Leaders to translate business requirements into comprehensive data architecture blueprints. 
 
 Key Responsibilities: 
 
 Identify, classify, and document data entities, data flows, and master data models across the domain 
 Analyze current data landscapes and integration workflows within the assigned Smart City domain 
 Map and document data governance policies, security standards, and compliance frameworks 
 Identify data quality gaps, integration bottlenecks, and opportunities for data interoperability 
 Ensure strict alignment between data architecture models and the overall business objectives 
 
 
 Job Requirements: 
 
 Bachelor's degree in Data Science, Computer Science, Information Systems, Statistics, or a related field 
 Proven experience as a Data Analyst, Data Architect, or Enterprise Data practitioner 
 Solid understanding of Enterprise Architecture principles; familiarity with the TOGAF framework is highly preferred 
 Proficiency in data modeling techniques (conceptual, logical, physical) and tools (e.g., ERD, ArchiMate) 
 Strong analytical skills with the ability to design standardized data structures without over-engineering the technical database design 
 Excellent communication and stakeholder management skills, with experience facilitating review workshops 
 Experience in smart city, government public services, or large-scale data integration projects is a significant plus 
 Willingness to travel and work on-site (hybrid arrangement) to project locations for stakeholder workshops and executive reviews","Software Design and Development Consultancy 
 Tamtech International is an IT consultancy agency established in January 2019. We specialize in Design, Development, Management, and Consulting services. Our young and dynamic team is driven by our core values to provide high-quality solutions tailored to our clients' needs. We prioritize innovation and excellence, staying up-to-date with industry trends and utilizing cutting-edge technology. Our goal is to exceed expectations and be a trusted partner in our clients' success.","thr financial benefits, free food and beverages, vacation and leaves",True,https://glints.com/id/opportunities/jobs/data-analyst/3251658f-e26a-49c5-8640-00217f5f02b7,sql power bi redis python statistics data visualization tableau data analysis
Data Analyst,Distributor,FULL_TIME,Data Analyst,2026-03-27T08:58:47.55Z,2026-04-27,CV Dinamika Artha Persada,https://id.jobstreet.com/companies/dinamika-artha-persada-168558967614890,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/b408701d76f96c55914663b05491317c.png,"Jl. T. Amir Hamzah No. 62 C Helvetia, Medan, Sumatera Utara",Medan,Sumatera Utara,ID,3.60389,98.63222,5000000.0,7000000.0,IDR,MONTH,"SQL, Data analysis, Power BI",12.0,bachelor degree,"Kualifikasi : 
 
 Pendidikan Minimal S1 Jurusan Statistika, Matematika, Fisika, Teknik Informatika atau bidang terkait. 
 Pengalaman minimal 1 tahun di bidang Data Analyst / Data Administrator. 
 Mahir menggunakan Microsoft Excel, khususnya dalam pengolahan data dalam jumlah besar. 
 Mampu memvisualisasikan data dengan menggunakan Power BI atau Tableau. 
 Domisili dan Penempatan di Medan. 
 
 
 Deskripsi Pekerjaan : 
 
 Menganalisa, menyajikan dan menginterpretasikan data 
 Melakukan pengecekan data penjualan sesuai dengan skema yang berlaku 
 Menyajikan laporan pencapain target cabang 
 Melakukan validasi terkait data/dokumen untuk keperluan klaim program","CV Dinamika Artha Persada (DAP) adalah perusahaan distribusi ban di Indonesia, didirikan di kota Medan pada tahun 2016 sebagai distributor ban merek Swallow & Delium. Produk yang tersedia mulai dari ban sepeda; ban motor; ban mobil; ban industrial sampai ke ban alat pertanian.","vacation and leaves, career growth, medical coverage",True,https://glints.com/id/opportunities/jobs/data-analyst/380421d2-b715-4666-a4c9-2a83bff4fe10,sql data analysis power bi
Data Analyst,Information Technology and Services,FULL_TIME,Data Analyst,2026-03-27T07:35:13.721Z,2026-04-27,Pt Kreator Solusi Informasi,http://www.kreators.com,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/100e00d7d73862701aae99912207ca06.png,"Ruko Manyar Megah Indah Plaza H-7, Jl Ngagel Jaya Selatan, Kel. Baratajaya, Kec. Gubeng",Surabaya,Jawa Timur,ID,-7.27972,112.75611,3712000.0,5568000.0,IDR,MONTH,"Tableau, Data Integration, Data Analysis, Microsoft SQL Server, Data Engineering, Database Systems, Power BI",12.0,bachelor degree,"PENEMPATAN  : JAKARTA TIMUR dan SURABAYA 
 
 Deskripsi Pekerjaan 
 Bertanggung jawab merancang, membangun, dan memelihara infrastruktur data yang andal untuk mendukung kebutuhan bisnis dan analitik. Termasuk di dalamnya pembuatan pipeline ETL/ELT, integrasi data dari berbagai sumber, optimasi performa sistem data, serta kolaborasi dengan tim data analytics dan engineering.  
 
 Tugas spesifik: 
 
 Merancang, Mengimplementasikan, mengoptimasi, dan mengotomasi pipeline ETL/ELT serta memantau performanya untuk memastikan reliabilitas jangka panjang. 
 Membangun dan memelihara arsitektur data warehouse/data lake yang scalable serta menjamin kualitas, konsistensi, dan ketersediaan data.B120 
 Bekerja sama dengan data analysts, data scientists, dan tim produk untuk memenuhi kebutuhan data dan analitik. 
 Mengekstrak dan menyiapkan data terstruktur dari data warehouse untuk kebutuhan training AI; akan diajarkan jika belum berpengalaman 
 
 
 Kualifikasi 
 
 Minimal S1 di bidang Teknologi Informasi, Ilmu Komputer, Sistem Informasi, Data Sceince atau bidang terkait. 
 Fresh graduate dipersilakan melamar. Pengalaman kerja sebagai data Engineer atau peran terkait menjadi nilai tambah. 
 Wajib menguasai Python untuk pengolahan data, scripting, dan automasi. 
 menguasai SQL dan konsep dasar pengelolaan database. 
 Berpengalaman atau Familiar menggunakan database Microsoft SQL Server dan PostgreSQL. 
 Memahami konsep ETL/ELT, data modeling, dan data pipeline. 
 Familiar dengan Microsoft Power Automate menjadi nilai tambah. 
 Memiliki kemampuan analitis yang baik, terbiasa Bekerja dengan data terstruktur, dan mampu Bekerja mandiri maupun dalam tim.","Kami   adalah sekumpulan professional di bidang teknologi informasi di   Surabaya.        Visi kami adalah menjadi   perusahaan software development yang dinamis dengan didukung tenaga   profesional di bidangnya untuk   memberikan solusi terbaik bagi channel kami dan masyarakat.          Misi kami menjadi perusahaan   yang tumbuh secara sehat melalui produk-produk solusi IT yang dapat diterima   oleh masyarakat dan memotivasi seluruh elemen di dalamnya untuk berkreasi   secara   berkesinambungan dalam   mendeliver solusi terbaik sesuai dengan perkembangan teknologi dan   kebutuhan masyarakat. 
 Kami juga merupakan Partner dari PT TERA DATA INDONUSA (AXIOO BRAND) sehingga tidak perlu diragukan lagi untuk Kemampuan dan Kinerja perusahaan kami.","bpjs tenaga kerja insurance and health, thr financial benefits, medical coverage",True,https://glints.com/id/opportunities/jobs/data-analyst/d7999800-5e92-4016-81f9-568d1d149ad4,tableau data integration data analysis microsoft sql server data engineering database systems power bi
Affiliate Data Analyst,Cosmetics,FULL_TIME,Data Analyst,2026-04-06T03:44:31.112Z,2026-05-07,Moicare Indonesia,https://moicareindonesia.com/,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/5ccb2377c0229f99d857898405adddb4.png,"Jl. Srigunting 3 No.20a, Manahan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57139",Surakarta,Jawa Tengah,ID,-7.54722,110.81722,2500000.0,3200000.0,IDR,MONTH,"Microsoft Excel, Data Visualization, Data Analysis",12.0,high school,"WFO, SOLO 
 
 Mampu mengolah dan menganalisis data performa affiliate 
 Terbiasa membaca metrik seperti: CTR (Click Through Rate), Conversion Rate, ROI / ROAS, GMV / Revenue 
 Bisa menarik insight dan membuat rekomendasi strategi 
 Paham sistem affiliate (komisi, tracking link, kode referral) 
 Familiar dengan platform: TikTok Affiliate, Shopee Affiliate 
 Mengerti cara evaluasi performa tiap affiliate/creator 
 Mampu membuat report harian/mingguan/bulanan 
 Bisa menyampaikan insight ke tim: Marketing, Content Creator, Management 
 Membuat presentasi data dalam bentuk yang mudah dipahami","Moicare Indonesia adalah perusahaan yang menyediakan produk perawatan kulit dan kesehatan, dengan fokus pada inovasi dalam pembuatan skincare berkualitas tinggi untuk mendukung kecantikan dan kesehatan kulit.","medical coverage, perform bonus financial benefits, meal allowance financial benefits, career growth",True,https://glints.com/id/opportunities/jobs/affiliate-data-analyst/2c729890-31e8-4db1-96ad-f0a80d1f9343,microsoft excel data visualization data analysis
Data Quality Analyst,Information Technology and Services,FULL_TIME,Data Analyst,2026-04-06T01:21:57.171Z,2026-05-07,Dot Indonesia,https://www.dot.co.id,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/dd61a2dc6be658c83e2932333ebbef22.png,"Jakarta Office Millenium Centennial Center lt. 39, Jl. Jend. Sudirman Kav. 25, Setiabudi, Jakarta Selatan 12920",Jakarta Pusat,DKI Jakarta,ID,-6.20556,106.81111,5800000.0,8000000.0,IDR,MONTH,"Statistics, Data Profiling, Data Quality Management",12.0,bachelor degree,"Job Description 
 
 Melakukan data profiling dan assessment  
 Menyusun cleansing plan dan laporan per unit  
 Memberikan rekomendasi perbaikan berbasis business rules  
 
 Requirement  
 
 Pendidikan minimal S1 Statistika, Matematika, Sistem Informasi, atau Ilmu Komputer  
 Pengalaman minimal 2 tahun dalam data profiling, cleansing, dan validasi kualitas data  
 Memahami prinsip Data Quality Management dan standar (misal: ISO 8000, DAMA-DMBOK)  
 Menguasai alat bantu spreadsheet, analisis manual, serta teknik segmentasi/anomali","DOT Indonesia is a creative IT company specialize in Website Development, UI/UX Design & Development, Mobile application, Database Application, and Digital Marketing.  We are full-timers strategists, designers, technologists, experts and part-timers thinkers, explorers, makers and creators with full plate of experiences and high dose of curiosity, creativity and passion.  We’re serious about delivering great outcomes. We strive to deliver intelligent-out of the box-competitive advantage products, engaging experiences and exceptional outcomes for our incredible clients.","bpjs tenaga kerja insurance and health, medical coverage, thr financial benefits",True,https://glints.com/id/opportunities/jobs/data-quality-analyst/046d6c0a-2db0-4b13-abd2-6fad0049c84e,statistics data profiling data quality management
